Date,Price,Sales
2020-04-17,172.28,27791.54
2020-04-18,186.52499999999998,14812.48
2020-04-19,181.53,18229.66
2020-04-20,171.675,22990.89
2020-04-21,170.985,25178.42
2020-04-22,183.985,20153.5
2020-04-23,187.11,33450.86
2020-04-24,186.85,21356.43
2020-04-25,194.49,25314.87
2020-04-26,197.745,35665.34
2020-04-27,194.43,25697.29
2020-04-28,197.795,19782.34
2020-04-29,219.385,29970.45
2020-04-30,208.175,21958.35
2020-05-01,212.31,21046.54
2020-05-02,216.175,20357.81
2020-05-03,206.49,19307.98
2020-05-04,206.765,27280.52
2020-05-05,205.47500000000002,25692.55
2020-05-06,202.64,15979.69
2020-05-07,213.825,30177.3
2020-05-08,212.08499999999998,24389.04
2020-05-09,196.67000000000002,18711.41
2020-05-10,196.67000000000002,19690.1
2020-05-11,187.42000000000002,20427.74
2020-05-12,190.39999999999998,41163.22
2020-05-13,198.845,19422.81
2020-05-14,200.835,44335.89
2020-05-15,196.57999999999998,33693.63
2020-05-16,201.125,56501.4
2020-05-17,211.5,38493.59
2020-05-18,212.57999999999998,54144.97
2020-05-19,213.63,114605.85
2020-05-20,210.405,99266.92
2020-05-21,198.29000000000002,58885.1
2020-05-22,209.19,63274.64
2020-05-23,207.85,38458.78
2020-05-24,200.855,78053.36
2020-05-25,203.875,33131.75
2020-05-26,201.6,55752.13
2020-05-27,207.485,65233.81
2020-05-28,222.32,44695.99
2020-05-29,220.305,47264.16
2020-05-30,240.59,24491.89
2020-05-31,240.59,46150.32
2020-06-01,247.275,38622.59
2020-06-02,237.015,56056.43
2020-06-03,244.86,40660.56
2020-06-04,242.45499999999998,56583.77
2020-06-05,239.87,28071.0
2020-06-06,242.34,60214.58
2020-06-07,244.2,27052.07
2020-06-08,244.815,19026.69
2020-06-09,244.10000000000002,42470.37
2020-06-10,248.79000000000002,19337.15
2020-06-11,231.405,21597.14
2020-06-12,236.87,30966.76
2020-06-13,237.935,23160.83
2020-06-14,236.31,31153.2
2020-06-15,231.325,41076.71
2020-06-16,233.99,55486.1
2020-06-17,233.88,36471.73
2020-06-18,229.24,28274.68
2020-06-19,229.87,41393.21
2020-06-20,229.48000000000002,18490.39
2020-06-21,231.07999999999998,22958.89
2020-06-22,242.805,23310.06
2020-06-23,244.44,33831.87
2020-06-24,231.64,27104.37
2020-06-25,232.365,21023.62
2020-06-26,229.41500000000002,14123.07
2020-06-27,219.79,26066.95
2020-06-28,225.505,22163.38
2020-06-29,227.76,18824.5
2020-06-30,225.13,33834.15
2020-07-01,231.32999999999998,26996.46
2020-07-02,229.99,32829.5
2020-07-03,225.845,16413.45
2020-07-04,228.805,21005.04
2020-07-05,227.87,16401.27
2020-07-06,240.8,37123.87
2020-07-07,240.14,29314.23
2020-07-08,245.145,43388.29
2020-07-09,241.07999999999998,84677.5
2020-07-10,240.945,60698.5
2020-07-11,240.23000000000002,29088.47
2020-07-12,242.4,19404.07
2020-07-13,239.365,16404.2
2020-07-14,240.555,97598.96
2020-07-15,238.725,49282.69
2020-07-16,233.62,29622.14
2020-07-17,232.88,79562.54
2020-07-19,238.755,36023.29
2020-07-20,236.58499999999998,33241.88
2020-07-21,244.58499999999998,30455.46
2020-07-22,264.03999999999996,59617.74
2020-07-23,273.735,56706.26
2020-07-24,281.84000000000003,58628.24
2020-07-25,302.825,39312.85
2020-07-26,320.045,16537.38
2020-07-27,321.41499999999996,34285.51
2020-07-28,315.725,26210.91
2020-07-29,317.51,42839.14
2020-07-30,332.70000000000005,126090.47
2020-07-31,348.005,77828.02
2020-08-01,395.44,41701.89
2020-08-02,377.06,32627.01
2020-08-03,393.935,40006.43
2020-08-04,388.365,51510.83
2020-08-05,399.045,44359.75
2020-08-06,396.09000000000003,30370.82
2020-08-07,379.525,98629.27
2020-08-08,396.765,96470.59
2020-08-09,394.12,52561.71
2020-08-10,395.705,49518.32
2020-08-11,376.57500000000005,47945.62
2020-08-12,390.615,45168.29
2020-08-13,424.15,60751.41
2020-08-14,439.26,70538.9
2020-08-15,428.655,28379.37
2020-08-16,428.415,46673.27
2020-08-17,430.89,27398.04
2020-08-18,421.5,72123.47
2020-08-19,410.905,53870.16
2020-08-20,414.275,59191.88
2020-08-21,384.075,84232.69
2020-08-22,392.885,31756.08
2020-08-23,390.755,116619.99
2020-08-24,404.83,36066.88
2020-08-25,382.695,59233.28
2020-08-26,386.095,68535.47
2020-08-27,384.175,78763.42
2020-08-28,393.93,131330.7
2020-08-29,402.625,37984.23
2020-08-30,427.03499999999997,46167.24
2020-08-31,436.73,44765.28
2020-09-01,472.39,20180.0
2020-09-02,452.24,42143.74
2020-09-03,383.845,59807.39
2020-09-04,389.5,98868.72
2020-09-05,332.64,46819.78
2020-09-06,351.17999999999995,99554.06
2020-09-07,351.53999999999996,63164.92
2020-09-08,335.99,78103.21
2020-09-09,360.65999999999997,67558.46
2020-09-10,364.83000000000004,61788.44
2020-09-11,371.305,160061.45
2020-09-12,385.94000000000005,110680.35
2020-09-13,362.49,110657.81
2020-09-14,378.155,213012.34
2020-09-15,359.875,207999.3
2020-09-16,373.97,50253.02
2020-09-17,389.04499999999996,131163.2
2020-09-18,383.445,152092.8
2020-09-19,382.57,130875.99
2020-09-20,372.265,158931.06
2020-09-21,341.59,70221.55
2020-09-22,342.645,177181.53
2020-09-23,321.655,162597.46
2020-09-24,347.875,701473.47
2020-09-25,351.86,414688.34
2020-09-26,357.74,503936.07
2020-09-27,358.8,418468.44
2020-09-28,353.775,782527.1
2020-09-29,357.63,417189.02
2020-09-30,361.07,231985.76
2020-10-01,351.895,223797.2
2020-10-02,346.21500000000003,273454.59
2020-10-03,345.68499999999995,228713.75
2020-10-04,353.07500000000005,255369.24
2020-10-05,353.34000000000003,214744.01
2020-10-06,337.36,224034.0
2020-10-07,340.16999999999996,264312.53
2020-10-08,349.805,231609.89
2020-10-09,371.27,311789.4
2020-10-10,371.18,186122.8
2020-10-11,373.86,195112.55
2020-10-12,384.695,210633.11
2020-10-13,382.755,124694.62
2020-10-14,377.32,142819.36
2020-10-15,377.75,118372.58
2020-10-16,365.73,107621.01
2020-10-17,368.9,104700.51
2020-10-18,376.275,86736.25
2020-10-19,378.90999999999997,203126.83
2020-10-20,373.44,151057.64
2020-10-21,394.41999999999996,161459.91
2020-10-22,412.78499999999997,375480.37
2020-10-23,410.63,145993.3
2020-10-24,413.275,95974.9
2020-10-25,407.08500000000004,139875.47
2020-10-26,393.615,164097.43
2020-10-27,405.525,180772.73
2020-10-28,389.93,183663.61
2020-10-29,387.79,154167.43
2020-10-30,384.08,131491.52
2020-10-31,387.725,110393.27
2020-11-01,400.14,142664.79
2020-11-02,378.02,112687.54
2020-11-03,384.83,98197.05
2020-11-04,403.405,120193.21
2020-11-05,427.995,160412.64
2020-11-06,461.33,240742.31
2020-11-07,437.75,110428.94
2020-11-08,453.44,121755.32
2020-11-09,445.6,108472.98
2020-11-10,457.79499999999996,193988.14
2020-11-11,458.365,143252.73
2020-11-12,464.055,152131.63
2020-11-13,472.67499999999995,208824.47
2020-11-14,459.78499999999997,146891.35
2020-11-15,448.53,176761.35
2020-11-16,464.095,221083.46
2020-11-17,488.45500000000004,117277.81
2020-11-18,477.48,153208.28
2020-11-19,479.515,176641.76
2020-11-20,511.66,131955.74
2020-11-21,549.2,204236.49
2020-11-22,568.62,118251.18
2020-11-23,610.1949999999999,182699.15
2020-11-24,593.5350000000001,144166.96
2020-11-25,544.595,143946.3
2020-11-26,522.78,110858.81
2020-11-27,515.045,145682.65
2020-11-28,537.145,102543.99
2020-11-29,584.135,91837.17
2020-11-30,609.6800000000001,153848.59
2020-12-01,586.1800000000001,422451.74
2020-12-02,594.5699999999999,145272.92
2020-12-03,610.395,148842.86
2020-12-04,570.5450000000001,126707.62
2020-12-05,600.995,134618.06
2020-12-06,597.3599999999999,141594.69
2020-12-07,588.965,181894.11
2020-12-08,549.755,119901.0
2020-12-09,570.3399999999999,79904.87
2020-12-10,550.6949999999999,104132.79
2020-12-11,549.94,136240.58
2020-12-12,566.46,131538.89
2020-12-13,586.855,114453.01
2020-12-14,591.31,146707.05
2020-12-15,585.025,106411.4
2020-12-16,643.69,101421.7
2020-12-17,642.105,99129.7
2020-12-18,652.7349999999999,253253.56
2020-12-19,649.6949999999999,175991.54
2020-12-20,641.29,188248.61
2020-12-21,608.685,455174.41
2020-12-22,628.235,517072.61
2020-12-23,576.41,507203.73
2020-12-24,610.275,302078.86
2020-12-25,629.125,260553.31
2020-12-26,643.75,320732.13
2020-12-27,700.2850000000001,253654.51
2020-12-28,715.005,181438.97
2020-12-29,736.615,221817.8
2020-12-30,742.63,446967.86
2020-12-31,739.49,245937.36
2021-01-01,724.2149999999999,303926.79
2021-01-02,775.46,240056.82
2021-01-03,994.8,300975.57
2021-01-04,1061.1799999999998,350287.01
2021-01-05,1096.7150000000001,808272.38
2021-01-06,1202.4650000000001,536268.33
2021-01-07,1150.0,572550.51
2021-01-08,1202.915,524596.75
2021-01-09,1308.005,633467.49
2021-01-10,1141.8249999999998,509911.32
2021-01-11,1071.595,433905.06
2021-01-12,1024.5149999999999,601412.25
2021-01-13,1116.2849999999999,787745.05
2021-01-14,1229.88,702445.95
2021-01-15,1177.92,731217.34
2021-01-16,1230.1399999999999,1221121.66
2021-01-17,1215.31,1302702.3
2021-01-18,1298.185,605312.84
2021-01-19,1364.085,2209666.14
2021-01-20,1340.9650000000001,1554992.79
2021-01-21,1115.48,2345507.47
2021-01-22,1228.8600000000001,2705918.35
2021-01-23,1268.8850000000002,3432098.27
2021-01-24,1430.4250000000002,7310669.8
